"age","genre_preference","major_release","RS","min_1","min_2","min_3","diff"
22.655086631421,"Comedy","sports",1,31.5504210244006,39.5342689105285,45.1049007072945,5.570631796766
23.7212389963679,"Comedy","news",1,27.6585082992766,39.2645787920901,46.9481874469067,7.68360865481653
25.728533633519,"Drama","news",1,34.2074311840489,42.9683888421577,50.2872911497405,7.31890230758278
29.0820778999478,"SciFi","politics",1,34.9109034822944,50.9398180105235,50.9629746901886,0.0231566796650924
22.0168193103746,"Romance","politics",0,32.3582803543023,47.0633530423873,51.6751757747154,4.61182273232814
28.983896849677,"SciFi","news",1,36.0413421587616,51.0531325104193,52.8154306314251,1.76229812100581
29.4467526860535,"Action","celebrity",0,32.0288684463004,44.3951568745649,40.6367928112139,-3.75836406335099
26.6079779248685,"Comedy","celebrity",1,32.6406534190599,45.0865348996906,51.8139279922445,6.72739309255395
26.2911404389888,"Romance","celebrity",1,36.2610963488519,49.0347148255895,52.8999289287739,3.86521410318431
20.6178627046756,"Drama","sports",1,30.8006206932672,39.269780966556,45.8080042886708,6.53822332211482
22.059745748993,"Comedy","tech",0,27.842535484193,36.3779590861869,39.1899743542351,2.81201526804826
21.76556752529,"Comedy","sports",0,27.7829278418207,41.032897830646,41.4533986904216,0.420500859775643
26.8702284665778,"Comedy","sports",1,32.2114833127517,41.917883006864,44.2050683136911,2.2871853068271
23.8410371821374,"Drama","news",1,35.0160232142062,43.1428931397113,49.2100446884249,6.06715154871354
27.6984141999856,"Comedy","politics",1,34.6942861055423,42.757367070559,51.2070348255167,8.44966775495768
24.9769924208522,"Comedy","celebrity",1,31.6280534000191,43.201123245972,47.9386416355205,4.73751838954858
27.1761850826442,"SciFi","tech",1,33.6674234968097,47.1146728084704,49.3869057679763,2.27223295950596
29.9190609483048,"SciFi","sports",1,38.2398948398661,51.4392326933975,45.195587666755,-6.2436450266425
23.8003517943434,"Drama","sports",1,29.4021729062304,40.9700440587793,45.6251371671626,4.65509310838333
27.7744522131979,"Action","news",1,32.591942953907,43.4066542064242,46.8022889930131,3.3956347865889
29.3470523110591,"Comedy","celebrity",0,33.7536676927559,45.0946413379307,44.8020277039179,-0.29261363401276
22.1214252128266,"Romance","politics",1,30.4578302438054,43.1736455116754,47.2356984996414,4.06205298796608
